Province/State,Country/Region,Lat,Long,Date,Confirmed,no_of_deaths,Recovered,Active,WHO Region,Total,Month,4days_avg,Difference,diff_death_and_recovered
Unknown,Serbia,44.0165,21.0059,2020-04-02,1171,31,0,1140,Europe,2342,4,625.25,1097.0,-31
Unknown,Mali,17.570692,-3.996166000000001,2020-07-21,2477,122,1856,499,Africa,4954,7,1037.5,1306.0,1734
Guadeloupe,France,16.265,-61.551,2020-07-15,190,14,157,19,Europe,380,7,978.0,-2287.0,143
Shandong,China,36.3427,118.1498,2020-02-24,755,5,343,407,Western Pacific,1510,2,1148.25,565.0,338
Tasmania,Australia,-42.8821,147.3272,2020-03-03,1,0,0,1,Western Pacific,2,3,855.75,-754.0,0
Unknown,Mali,17.570692,-3.996166000000001,2020-07-27,2513,124,1913,476,Africa,5026,7,864.75,2512.0,1789
Unknown,Iran,32.427908,53.68804599999999,2020-02-10,0,0,0,0,Eastern Mediterranean,0,2,817.25,-2513.0,0
British Columbia,Canada,53.7267,-127.6476,2020-01-27,0,0,0,0,Americas,0,1,628.5,0.0,0
Shaanxi,China,35.1917,108.8701,2020-04-26,286,3,253,30,Western Pacific,572,4,699.75,286.0,250
Unknown,Bangladesh,23.685,90.3563,2020-02-25,0,0,0,0,South-East Asia,0,2,71.5,-286.0,0
Unknown,Eritrea,15.1794,39.7823,2020-05-16,39,0,39,0,Africa,78,5,81.25,39.0,39
Unknown,Mozambique,-18.665695,35.529562,2020-04-21,39,0,0,39,Africa,78,4,91.0,0.0,0
Unknown,Burma,21.9162,95.956,2020-03-28,8,0,0,8,South-East Asia,16,3,21.5,-31.0,0
Unknown,Sao Tome and Principe,0.1864,6.6131,2020-04-21,4,0,0,4,Africa,8,4,22.5,-4.0,0
Unknown,Guatemala,15.7835,-90.2308,2020-03-18,6,1,0,5,Americas,12,3,14.25,2.0,-1
Unknown,Azerbaijan,40.1431,47.5769,2020-02-10,0,0,0,0,Europe,0,2,4.5,-6.0,0
Unknown,India,20.593684,78.96288,2020-05-31,190609,5408,91852,93349,South-East Asia,381218,5,47654.75,190609.0,86444
Unknown,Panama,8.538,-80.7821,2020-04-02,1317,32,9,1276,Americas,2634,4,47983.0,-189292.0,-23
Unknown,Finland,61.92411,25.748151,2020-06-28,7198,328,6600,270,Europe,14396,6,49781.0,5881.0,6272
Ontario,Canada,51.2538,-85.3232,2020-06-09,32678,2536,0,30142,Americas,65356,6,57950.5,25480.0,-2536
Unknown,Slovakia,48.669,19.699,2020-04-21,1199,14,258,927,Europe,2398,4,10598.0,-31479.0,244
Unknown,Norway,60.472,8.4689,2020-04-13,6603,134,32,6437,Europe,13206,4,11919.5,5404.0,-102
Unknown,Guyana,4.860416000000002,-58.93018000000001,2020-05-09,94,10,35,49,Americas,188,5,10143.5,-6509.0,25
Unknown,Haiti,18.9712,-72.2852,2020-03-20,2,0,0,2,Americas,4,3,1974.5,-92.0,0
Unknown,Bahamas,25.025885,-78.035889,2020-05-06,92,11,26,55,Americas,184,5,1697.75,90.0,15
Nova Scotia,Canada,44.682,-63.7443,2020-03-18,12,0,0,12,Americas,24,3,50.0,-80.0,0
Unknown,Laos,19.85627,102.495496,2020-05-29,19,0,16,3,Western Pacific,38,5,31.25,7.0,16
Alberta,Canada,53.9333,-116.5765,2020-07-24,10086,178,0,9908,Americas,20172,7,2552.25,10067.0,-178
Unknown,Estonia,58.5953,25.0136,2020-02-18,0,0,0,0,Europe,0,2,2529.25,-10086.0,0
Unknown,Ghana,7.9465,-1.0232,2020-04-23,1154,9,99,1046,Africa,2308,4,2814.75,1154.0,90
Unknown,Burkina Faso,12.2383,-1.5616,2020-02-08,0,0,0,0,Africa,0,2,2810.0,-1154.0,0
Zhejiang,China,29.1832,120.0934,2020-02-03,724,0,43,681,Western Pacific,1448,2,469.5,724.0,43
Unknown,Spain,40.463667,-3.74922,2020-05-31,239479,27127,150376,61976,Europe,478958,5,60339.25,238755.0,123249
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-15,1,0,0,1,Western Pacific,2,3,60051.0,-239478.0,0
Unknown,Chile,-35.6751,-71.543,2020-02-14,0,0,0,0,Americas,0,2,60051.0,-1.0,0
Unknown,Bolivia,-16.2902,-63.5887,2020-05-17,4088,169,493,3426,Americas,8176,5,60892.0,4088.0,324
Unknown,Maldives,3.2028,73.2207,2020-05-13,955,4,40,911,South-East Asia,1910,5,1261.0,-3133.0,36
Unknown,Jamaica,18.1096,-77.2975,2020-04-07,63,3,8,52,Americas,126,4,1276.5,-892.0,5
Chongqing,China,30.0572,107.874,2020-04-13,579,6,570,3,Western Pacific,1158,4,1421.25,516.0,564
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-02-03,0,0,0,0,Europe,0,2,399.25,-579.0,0
Sint Maarten,Netherlands,18.0425,-63.0548,2020-02-16,0,0,0,0,Europe,0,2,160.5,0.0,0
Unknown,Kyrgyzstan,41.20438,74.766098,2020-02-16,0,0,0,0,Europe,0,2,144.75,0.0,0
Aruba,Netherlands,12.5211,-69.9683,2020-01-30,0,0,0,0,Europe,0,1,0.0,0.0,0
Unknown,Equatorial Guinea,1.6508,10.2679,2020-04-06,16,0,3,13,Africa,32,4,4.0,16.0,3
Unknown,Norway,60.472,8.4689,2020-05-19,8267,233,32,8002,Europe,16534,5,2070.75,8251.0,-201
Unknown,Germany,51.165691,10.451526,2020-05-18,176551,8003,155041,13507,Europe,353102,5,46208.5,168284.0,147038
Unknown,Honduras,15.2,-86.2419,2020-04-03,222,15,3,204,Americas,444,4,46264.0,-176329.0,-12
Unknown,Burkina Faso,12.2383,-1.5616,2020-06-03,884,53,753,78,Africa,1768,6,46481.0,662.0,700
Unknown,Brazil,-14.235,-51.9253,2020-07-23,2287475,84082,1620313,583080,Americas,4574950,7,616283.0,2286591.0,1536231
Western Australia,Australia,-31.9505,115.8605,2020-07-19,651,9,622,20,Western Pacific,1302,7,572308.0,-2286824.0,613
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-02-25,0,0,0,0,Americas,0,2,572252.5,-651.0,0
Unknown,Mongolia,46.8625,103.8467,2020-04-11,16,0,4,12,Western Pacific,32,4,572035.5,16.0,4
Unknown,Congo (Brazzaville),-0.228,15.8277,2020-05-27,571,19,161,391,Africa,1142,5,309.5,555.0,142
Heilongjiang,China,47.862,127.7615,2020-01-30,44,2,0,42,Western Pacific,88,1,157.75,-527.0,-2
Unknown,Saint Lucia,13.9094,-60.9789,2020-07-06,22,0,19,3,Americas,44,7,163.25,-22.0,19
Unknown,Israel,31.046051,34.851612,2020-02-13,0,0,0,0,Europe,0,2,159.25,-22.0,0
Qinghai,China,35.7452,95.9956,2020-06-06,18,0,18,0,Western Pacific,36,6,21.0,18.0,18
Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-13,1,0,1,0,Europe,2,3,10.25,-17.0,1
Unknown,Switzerland,46.8182,8.2275,2020-02-24,0,0,0,0,Europe,0,2,4.75,-1.0,0
Unknown,Senegal,14.4974,-14.4524,2020-06-22,5970,86,3953,1931,Africa,11940,6,1497.25,5970.0,3867
Unknown,Indonesia,-0.7893,113.9213,2020-03-28,1155,102,59,994,South-East Asia,2310,3,1781.5,-4815.0,-43
Unknown,Seychelles,-4.6796,55.492,2020-05-28,11,0,11,0,Africa,22,5,1784.0,-1144.0,11
Unknown,Slovakia,48.669,19.699,2020-04-12,742,2,23,717,Europe,1484,4,1969.5,731.0,21
Unknown,Syria,34.802075,38.99681500000001,2020-05-19,58,3,0,55,Eastern Mediterranean,116,5,491.5,-684.0,-3
Sichuan,China,30.6171,102.7103,2020-03-02,538,3,386,149,Western Pacific,1076,3,337.25,480.0,383
Unknown,Saint Kitts and Nevis,17.357822,-62.782998,2020-06-09,15,0,15,0,Americas,30,6,338.25,-523.0,15
Unknown,Malawi,-13.2543,34.3015,2020-04-14,16,2,0,14,Africa,32,4,156.75,1.0,-2
Unknown,Cameroon,3.848,11.5021,2020-07-11,15173,359,11928,2886,Africa,30346,7,3935.5,15157.0,11569
Unknown,Equatorial Guinea,1.6508,10.2679,2020-04-18,79,0,4,75,Africa,158,4,3820.75,-15094.0,4
Unknown,Belgium,50.8333,4.469936,2020-03-11,314,3,1,310,Europe,628,3,3895.5,235.0,-2
Unknown,Lithuania,55.1694,23.8813,2020-02-05,0,0,0,0,Europe,0,2,3891.5,-314.0,0
Chongqing,China,30.0572,107.874,2020-04-15,579,6,570,3,Western Pacific,1158,4,243.0,579.0,564
Unknown,Cote d'Ivoire,7.54,-5.5471,2020-07-14,13037,87,6908,6042,Africa,26074,7,3482.5,12458.0,6821
Unknown,Eswatini,-26.5225,31.4659,2020-05-10,172,2,27,143,Africa,344,5,3447.0,-12865.0,25
Quebec,Canada,52.9399,-73.5491,2020-05-29,50232,4363,0,45869,Americas,100464,5,16005.0,50060.0,-4363
Unknown,Morocco,31.7917,-7.0926,2020-07-27,20887,316,16553,4018,Eastern Mediterranean,41774,7,21082.0,-29345.0,16237
Unknown,Madagascar,-18.766947,46.869107,2020-04-24,122,0,61,61,Africa,244,4,17853.25,-20765.0,61
Unknown,Netherlands,52.1326,5.2913,2020-03-21,3631,136,0,3495,Europe,7262,3,18718.0,3509.0,-136
Unknown,Bhutan,27.5142,90.4336,2020-05-09,7,0,5,2,South-East Asia,14,5,6161.75,-3624.0,5
